Date,Open,High,Low,Close,Volume,Labeling,ma_5,ma_10,ma_15,ma_20,ma_30,ma_60,ma_120,ema_5,ema_10,ema_15,ema_20,ema_30,ema_60,ema_120,wma_5,wma_10,wma_15,wma_20,wma_30,wma_60,wma_120,ma_v5,ma_v10,ma_v20,ma_v60,ma_v120,ubb,mbb,lbb,macd,macdsignal9,macdhist,rsi,slowk,slowd,fastk,fastd,fastk_rsi,fastd_rsi,cci,willR,sar,adx,plus_di,plus_dm,atr,obv,var,Market_Value,Value,Num_Stock,DIV,BPS,PER,EPS,PBR,yg_short_sell,yg_balance,yg_short_sell_value_x,yg_balance_value,yg_short_sell_volume,yg_total_volume,yg_short_sell_rate,yg_short_sell_value_y,kosdaq_inst_volume,kosdaq_indi_volume,kosdaq_fore_volume,kosdaq_etc_volume,kosdaq_short_sell_volume,kosdaq_inst_value,kosdaq_indi_value,kosdaq_fore_value,kosdaq_etc_value,kosdaq_short_sell_value,kosdaq_150_Close,kosdaq_150_comm_Close,kosdaq_enter_Close,kosdaq_large_Close,kosdaq_super_Close
2018-10-18,39650,40150,39150,40000,652646,0,40570.0,41370.0,42373.333333333336,42552.5,42488.333333333336,39650.0,35503.333333333336,40535.6850491484,41224.61525661155,41585.549321517065,41674.85023993153,41422.88418594677,39770.04629127092,36619.6139823921,40406.666666666664,40760.90909090909,41527.083333333336,41941.666666666664,42261.82795698925,41018.00546448088,38296.36363636364,563122.4,469291.0,337689.8,365037.3,308379.68333333335,46174.029373068784,42552.5,38930.970626931216,-159.75779892586434,419.32104927768535,-579.0788482035497,45.13956983577124,51.31578947368428,50.68994033906327,34.21052631578947,51.31578947368428,22.096842666015963,45.26991798763752,-96.4191067157909,-85.14285714285714,26700.0,23.679102051553652,15.963282205826875,4700.219419300817,2103.1389170994694,4217178.0,939600.0,727428,25974933750,18185709,0.38,17539,40.16,996,2.280595244882832,1384,782058,54749500,31282320000,1384,652646,0.21,54749500,832909,287348,6484502,0,7604759,20660087036,2063479050,71603013447,0,94326579533,1245.72,2533.36,600.91,1625.89,1301.07
2018-10-19,39500,41700,39350,41200,400491,0,40650.0,41025.0,42226.666666666664,42482.5,42500.0,39647.5,35592.083333333336,40757.12336609893,41220.13975540945,41537.35565632743,41629.6264075571,41408.50456104698,39816.93001942597,36695.32284218727,40616.666666666664,40730.0,41380.416666666664,41812.857142857145,42178.709677419356,41068.825136612024,38390.523415977965,591994.4,470235.0,337758.15,364912.9666666667,310715.63333333336,46151.46102459538,42482.5,38813.53897540462,-164.58361560391495,302.5401163013653,-467.12373190528024,49.010797218688715,39.91228070175446,46.63151987713403,65.78947368421052,39.91228070175446,68.79370703296324,34.867820331958605,-52.488070892978875,-71.42857142857143,26700.0,22.51068432612495,19.920274840405227,5914.48946077933,2120.7718515923643,4617669.0,1002000.0,749251,16257487500,18185709,0.36,17539,41.37,996,2.349308398426364,9232,742947,374983800,30609416400,9232,400491,2.3,374983800,1064803,354780,6972626,0,8392209,32545858383,4583845715,102040379680,0,139170083778,1274.33,2584.28,610.37,1662.49,1320.51
2018-10-22,41000,42150,40550,41750,226492,0,40940.0,40880.0,42103.333333333336,42405.0,42493.333333333336,39647.5,35680.416666666664,41088.082244065954,41316.47798169864,41563.9361992865,41641.09055921833,41430.5365248504,39880.30936305135,36778.87122496103,40983.333333333336,40861.818181818184,41320.833333333336,41743.09523809524,42130.32258064516,41137.75956284153,38492.30716253444,604226.4,465338.6,338974.5,363634.68333333335,311309.2916666667,46067.089567446434,42405.0,38742.910432553566,-122.61428547300602,217.509235946491,-340.123521419497,50.72698473685207,60.08771929824568,50.43859649122819,80.26315789473684,60.08771929824568,89.49530056827388,60.12861675575106,-19.619169875909083,-65.14285714285714,26700.0,21.704530067344226,20.370310711214216,5942.025927866521,2083.5738621929095,4844161.0,1135400.0,759253,9407206400,18185709,0.36,17539,41.92,996,2.38054165003706,41209,758534,1709993600,31668794500,41209,226492,18.19,1709993600,537115,177505,6179698,5179,6899497,19868980700,2231737090,60153884986,522643410,82777246186,1284.09,2641.2,618.7,1679.36,1323.76
2018-10-23,41750,43750,40700,42700,490990,0,41020.0,41030.0,42016.666666666664,42360.0,42486.666666666664,39707.5,35780.0,41625.38816271064,41568.02743957162,41705.94417437569,41741.939077388015,41512.437394214896,39972.75823639393,36876.741122069114,41570.0,41192.72727272727,41395.416666666664,41771.19047619047,42143.655913978495,41237.84153005465,38608.333333333336,664857.2,477184.5,355531.4,361994.7833333333,314558.7833333333,45984.1688702377,42360.0,38735.8311297623,-12.551542088694987,171.49708033945382,-184.0486224281488,53.63012514204708,75.08685079034227,58.362283596780856,79.20792079207921,75.08685079034227,100.0,86.09633586707908,25.536480686695715,-54.285714285714285,26700.0,21.83654925375776,23.617890593866566,7117.595504447483,2152.6043006077016,5335151.0,1378600.0,776530,20918344250,18185709,0.35,17539,42.87,996,2.4344899937282625,76941,791863,3283352800,33812550100,76941,490990,15.67,3283352800,1373512,217861,7006762,5000,8603135,43156646667,3416146590,120495675946,506500000,167574969203,1235.5,2617.31,610.61,1616.05,1282.12
2018-10-24,43900,44000,36450,37050,1200094,1,40540.0,40520.0,41540.0,42050.0,42301.666666666664,39694.166666666664,35840.0,40100.25877514043,40746.56790510405,41123.95115257873,41295.08773668439,41224.53820749136,39876.930097495766,36879.60490517541,40246.666666666664,40469.09090909091,40774.583333333336,41265.47619047619,41792.903225806454,41150.71038251366,38629.32506887052,594142.6,555849.0,405925.6,373419.35,323408.9166666667,46319.77751176803,42050.0,37780.22248823197,-376.88926117974916,61.819812035613225,-438.70907321536237,38.93658890795229,55.80603285145531,63.66020098001447,7.947019867549669,55.80603285145531,0.0,63.16510018942466,-124.43088249539856,-94.54545454545455,26700.0,21.103527842761682,18.59971614674672,6609.195825558377,2538.1325648500087,4135057.0,3807400.0,673781,46038571450,18185709,0.4,17539,37.2,996,2.112503563487086,198035,946778,7594870850,35078124900,198035,1200094,16.5,7594870850,1247900,214211,8074112,656,9536879,40393396634,2315734710,148175880560,5385760,190890397664,1203.59,2290.13,564.56,1571.19,1251.53
2018-10-25,36550,38850,35750,38000,500560,0,40140.0,40355.0,40960.0,41815.0,42126.666666666664,39709.166666666664,35901.25,39400.172516760285,40247.19192235786,40733.45725850639,40981.26985700017,41016.5034844274,39815.39140577459,36898.123832362595,39400.0,40010.90909090909,40332.083333333336,40879.76190476191,41515.37634408602,41095.16393442623,38665.027548209364,563725.4,563423.9,425103.6,371056.1666666667,326773.56666666665,46420.00814331527,41815.0,37209.99185668473,-582.2605309954743,-66.99625657060427,-515.26427442487,41.82281318681909,38.142555977452126,56.345146539749955,27.272727272727273,38.142555977452126,19.642815949026772,39.88093864967563,-202.55759881631778,-75.67567567567568,26700.0,20.72609132792574,17.002321254045768,6137.110409447064,2578.2659530750084,4635617.0,4879400.0,691057,18984484600,18185709,0.39,17539,38.15,996,2.1664519071782884,214,928125,8081650,35268750000,214,500560,0.04,8081650,927112,277718,6472012,0,7676842,35852639273,2644983119,127931452772,0,166429075164,1189.48,2246.57,548.34,1551.28,1237.34
2018-10-26,38900,38950,35250,36600,409608,1,39220.0,39935.0,40423.333333333336,41475.0,41913.333333333336,39700.0,35945.833333333336,38466.78167784019,39584.066118292794,40216.77510119309,40564.00606109539,40731.567775754665,39709.9687367328,36893.196165711975,38220.0,39328.181818181816,39787.083333333336,40383.09523809524,41158.81720430108,40993.22404371585,38676.577134986226,565548.8,578771.6,439043.15,371729.1666666667,329220.7833333333,46542.59311705271,41475.0,36407.40688294729,-848.2094115520085,-223.23888756688513,-624.9705239851235,38.904462063723365,16.882772856282866,36.94378722839682,15.428571428571429,16.882772856282866,0.0,6.5476053163422945,-195.13152728700436,-84.57142857142857,26700.0,20.58975928783794,15.312023285228433,5698.745380200845,2658.389813569651,4226009.0,6314600.0,665597,14929413250,18185709,0.41,17539,36.75,996,2.086949084896516,28962,900918,1056490850,32973598800,28962,409608,7.07,1056490850,966534,247059,8625642,23000,9862235,45757386836,3035901265,120655429964,44990950,169493709015,1148.4,2135.0,527.88,1501.19,1201.59
2018-10-29,38050,38050,35450,35950,295405,1,38060.0,39500.0,39940.0,41092.5,41693.333333333336,39709.166666666664,35988.333333333336,37627.85445189346,38923.32682405774,39683.42821354395,40124.57691241964,40423.07953215759,39586.69107323336,36877.606146444006,37130.0,38603.63636363636,39227.916666666664,39856.90476190476,40774.086021505376,40870.27322404372,38676.64600550964,579331.4,591778.9,447035.1,366205.06666666665,330804.3,46596.79604945083,41092.5,35588.20395054917,-1098.759566842149,-398.3430234219379,-700.4165434202112,37.592867058036546,16.900432900432975,23.975253911389377,8.0,16.900432900432975,0.0,6.5476053163422945,-164.52227491993983,-92.0,26700.0,20.46316525061355,14.240649176914118,5291.692138757928,2654.21911260039,3930604.0,5827400.0,653776,10825050250,18185709,0.42,17539,36.09,996,2.0494691829636813,38569,881240,1401935750,31680578000,38569,295405,13.06,1401935750,1083835,255311,6646529,0,7985675,44180377277,2198685270,102076294821,0,148455357368,1114.83,2077.62,500.53,1459.08,1162.69
2018-10-30,35500,38000,33800,38000,289948,0,37120.0,39070.0,39726.666666666664,40792.5,41528.333333333336,39758.333333333336,36051.25,37751.902967928974,38755.44921968361,39472.999686850955,39922.23625409396,40266.751820405494,39534.668415094566,36896.158110965596,37110.0,38330.90909090909,38985.416666666664,39562.380952380954,40535.8064516129,40814.234972677594,38709.896694214876,539123.0,601990.1,453608.2,363331.68333333335,332430.85,46284.24607934489,40792.5,35300.75392065511,-1119.005305980092,-542.4754799335687,-576.5298260465233,44.00463250371417,21.535014005602317,18.43940658743944,41.1764705882353,21.535014005602317,100.0,33.33333333333337,-124.10928038304498,-58.8235294117647,26700.0,21.04119376760776,12.695345886426262,4913.714128846647,2764.632033128934,4220552.0,638600.0,691057,10630772500,18185709,0.39,17539,38.15,996,2.1664519071782884,40686,885056,1493625500,33632128000,40686,289948,14.03,1493625500,905558,545460,6798471,19500,8268989,27395527283,3986557956,98211673660,137978290,129731737189,1142.22,2159.11,514.06,1491.62,1185.06
2018-10-31,38000,38050,36500,36850,192938,1,37080.0,38810.0,39373.333333333336,40425.0,41371.666666666664,39762.5,36105.833333333336,37451.268645285985,38409.00390701386,39145.12472599459,39629.64232513263,40046.31621908901,39446.64649984556,36895.39516698269,37020.0,37927.27272727273,38625.833333333336,39186.90476190476,40233.978494623654,40718.879781420765,38723.09917355372,337691.8,465917.2,457132.3,360351.88333333336,332742.75,45939.11824320081,40425.0,34910.88175679919,-1213.8530468319877,-676.7509933132526,-537.1020535187351,41.432946855317944,36.13325718636977,24.85623469746841,59.22330097087379,36.13325718636977,59.89114589134133,53.297048630447144,-84.34865900383149,-70.09803921568627,26700.0,21.542129069487817,12.303836093699342,4612.734548214744,2677.872602191153,4027614.0,650600.0,670143,7157627600,18185709,0.41,17539,37.0,996,2.101146017446833,32462,905841,1200038450,33380240850,32462,192938,16.82,1200038450,1108733,328732,7843980,0,9281445,43146252927,2495219270,83077126636,0,128718598833,1124.49,2156.77,517.53,1474.92,1179.11
