집계날짜, 집계요일, 구독자수, 구독자수증감 영상조회수, 조회수증감, 순위변동(종합/구독/조회수)
2020-06-12, 금, 36,300,000 () 9,263,782,572 (+9,501,060) 2  / 6  / 3 
2020-06-11, 목, 36,300,000 (+100,000) 9,254,281,512 (+8,166,974) 2  / 6  / 3 
2020-06-10, 수, 36,200,000 () 9,246,114,538 (+8,921,604) 2  / 6  / 3 
2020-06-09, 화, 36,200,000 (+100,000) 9,237,192,934 (+8,702,563) 2  / 6 ▲ +1 / 3 
2020-06-08, 월, 36,100,000 () 9,228,490,371 (+7,532,901) 2  / 7 ▼ -1 / 3 
2020-06-07, 일, 36,100,000 () 9,220,957,470 (+8,613,517) 2  / 6  / 3 
2020-06-06, 토, 36,100,000 (+100,000) 9,212,343,953 (+8,956,563) 2  / 6  / 3 
2020-06-05, 금, 36,000,000 () 9,203,387,390 (+8,972,978) 2  / 6  / 3 
2020-06-04, 목, 36,000,000 () 9,194,414,412 (+8,289,046) 2  / 6  / 3 
2020-06-03, 수, 36,000,000 (+100,000) 9,186,125,366 (+8,666,941)2  / 6  / 3 
2020-06-02, 화, 35,900,000 () 9,177,458,425 (+8,834,658) 2  / 6  / 3 
2020-06-01, 월, 35,900,000 () 9,168,623,767 (+8,468,135) 2  / 6  / 3 
2020-05-31, 일, 35,900,000 (+100,000) 9,160,155,632 (+8,592,157) 2  / 6  / 3 
2020-05-30, 토, 35,800,000 () 9,151,563,475 (+10,650,375) 2  / 6  / 3 
2020-05-29, 금, 35,800,000 (+100,000) 9,140,913,100 (+8,136,396) 2  / 6  / 3 
2020-05-28, 목, 35,700,000 () 9,132,776,704 (+8,119,389) 2  / 6  / 3 
2020-05-27, 수, 35,700,000 (+100,000) 9,124,657,315 (+8,093,668) 2  / 6  / 3 
2020-05-26, 화, 35,600,000 () 9,116,563,647 (+8,347,263) 2  / 6  / 3 
2020-05-25, 월, 35,600,000 () 9,108,216,384 (+7,648,515) 2  / 6  / 3 
2020-05-24, 일, 35,600,000 () 9,100,567,869 (+8,622,569) 2  / 6  / 3 
2020-05-23, 토, 35,600,000 (+100,000) 9,091,945,300 (+8,441,426) 2  / 6  / 3 
2020-05-22, 금, 35,500,000 () 9,083,503,874 (+8,345,445) 2  / 6  / 3 
