Date,High,Low,Open,Close,Volume,Adj Close,,,Date,High,Low,Open,Close
2018-04-03,169,148.2599945,165.8999939,149.0099945,30526500,149.0099945,,,2018-04-03,32750,31700,32050,32400
2018-04-04,148.9299927,135.5099945,140,144.2200012,11702900,144.2200012,,,2018-04-04,32450,30350,32450,30900
2018-04-05,152.4100037,141.25,149.2299957,143.9900055,7372800,143.9900055,,,2018-04-05,31300,30100,31100,30150
2018-04-06,148.7299957,144.6699982,146.0700073,147.9199982,4228100,147.9199982,,,2018-04-06,30800,29550,30150,29850
2018-04-09,151,148.5899963,149.5,150,2051400,150,,,2018-04-09,30800,30050,30150,30550
2018-04-10,156.7400055,151.1329956,152,154.8999939,2980000,154.8999939,,,2018-04-10,31300,30100,30900,31150
2018-04-11,154.1499939,147.5,154,149.5700073,1874000,149.5700073,,,2018-04-11,31500,30500,31400,30750
2018-04-12,151,148.6499939,150.25,149.1000061,1371900,149.1000061,,,2018-04-12,31150,29850,30800,29850
2018-04-13,150.4199982,148.0500031,149.8000031,149,1608100,149,,,2018-04-13,31000,30150,30250,30650
2018-04-16,150,142.7400055,150,144.3200073,1454700,144.3200073,,,2018-04-16,31250,30700,30700,31250
2018-04-17,149.8399963,146,146.0200043,148.4900055,1743100,148.4900055,,,2018-04-17,31450,30600,31250,30850
2018-04-18,155.9900055,149.5599976,149.9400024,154.9100037,2235300,154.9100037,,,2018-04-18,31200,30450,31200,30450
2018-04-19,155.0299988,152.0099945,154.3999939,153.4700012,1056900,153.4700012,,,2018-04-19,31150,30150,30650,30300
2018-04-20,159,151.2299957,152.3500061,158.4499969,2339000,158.4499969,,,2018-04-20,30600,30050,30300,30300
2018-04-23,160.6799927,154.6060028,159.3999939,158.0399933,2436500,158.0399933,,,2018-04-23,31050,30250,30450,30450
2018-04-24,159.2599945,153.5200043,159,155.0700073,1180400,155.0700073,,,2018-04-24,30600,29800,30450,29850
2018-04-25,154.6000061,150.0590057,153.9499969,153.3300018,1884600,153.3300018,,,2018-04-25,30150,29500,29700,30100
2018-04-26,157.8000031,151.3200073,153,156.6000061,1277200,156.6000061,,,2018-04-26,30100,29600,30100,29950
2018-04-27,160,157,157.3699951,159.9799957,1737800,159.9799957,,,2018-04-27,30250,28950,30200,29100
2018-04-30,162.8800049,159.6999969,161.5099945,161.6699982,3638400,161.6699982,,,2018-04-30,29850,28750,29050,29300
2018-05-01,165.1699982,161.2100067,162.1199951,164.8800049,2963900,164.8800049,,,2018-05-02,29700,28550,29500,28600
2018-05-02,171.2299957,166,166.5200043,170,6942800,170,,,2018-05-03,28800,28250,28400,28300
2018-05-03,161.1100006,151.1100006,154.1210022,160.3800049,11094800,160.3800049,,,2018-05-04,28750,27850,28300,27850
2018-05-04,161.1100006,152.5599976,161.1100006,154.2599945,4292600,154.2599945,,,2018-05-08,28300,27200,28300,27200
2018-05-07,154.7100067,148.0610046,154.5,150,5623700,150,,,2018-05-09,27950,26700,27350,27950
2018-05-08,154.6499939,150.2599945,151.0200043,150.6399994,2460300,150.6399994,,,2018-05-10,27900,26800,27600,27050
2018-05-09,150.9700012,148.4900055,150.5200043,150.0700073,1857400,150.0700073,,,2018-05-11,27450,26900,27000,27350
2018-05-10,159.9499969,150.3500061,151.3999939,158.1300049,3606600,158.1300049,,,2018-05-14,27650,26900,27050,27350
