집계날짜,집계요일,구독자수,구독자수증감,영상조회수,조회수증감
2020-02-27,목,"33,400,000",0,"8,435,211,670","5,547,513"
2020-02-28,금,"33,400,000",0,"8,440,827,586","5,615,916"
2020-02-29,토,"33,400,000",0,"8,447,350,657","6,523,071"
2020-03-01,일,"33,400,000",0,"8,453,973,212","6,622,555"
2020-03-02,월,"33,500,000","100,000","8,459,471,266","5,498,054"
2020-03-03,화,"33,500,000",0,"8,464,668,633","5,197,367"
2020-03-04,수,"33,500,000",0,"8,469,892,586","5,223,953"
2020-03-05,목,"33,500,000",0,"8,475,442,620","5,550,034"
2020-03-06,금,"33,500,000",0,"8,481,410,298","5,967,678"
2020-03-07,토,"33,500,000",0,"8,487,729,843","6,319,545"
2020-03-08,일,"33,600,000","100,000","8,494,999,460","7,269,617"
2020-03-09,월,"33,600,000",0,"8,500,990,592","5,991,132"
2020-03-10,화,"33,600,000",0,"8,506,544,659","5,554,067"
2020-03-11,수,"33,600,000",0,"8,512,341,900","5,797,241"
2020-03-12,목,"33,600,000",0,"8,518,208,284","5,866,384"
2020-03-13,금,"33,700,000","100,000","8,524,497,769","6,289,485"
2020-03-14,토,"33,700,000",0,"8,530,821,142","6,323,373"
2020-03-15,일,"33,700,000",0,"8,537,756,637","6,935,495"
2020-03-16,월,"33,700,000",0,"8,544,128,716","6,372,079"
2020-03-17,화,"33,700,000",0,"8,550,596,003","6,467,287"
2020-03-18,수,"33,800,000","100,000","8,557,341,251","6,745,248"
2020-03-19,목,"33,800,000",0,"8,563,998,611","6,657,360"
2020-03-20,금,"33,800,000",0,"8,571,047,940","7,049,329"
2020-03-21,토,"33,800,000",0,"8,578,490,553","7,442,613"
2020-03-22,일,"33,800,000",0,"8,585,495,344","7,004,791"
2020-03-23,월,"33,900,000","100,000","8,592,354,487","6,859,143"
2020-03-24,화,"33,900,000",0,"8,599,164,448","6,809,961"
2020-03-25,수,"33,900,000",0,"8,606,129,377","6,964,929"
2020-03-26,목,"33,900,000",0,"8,613,287,915","7,158,538"
2020-03-27,금,"34,000,000","100,000","8,620,285,269","6,997,354"
2020-03-28,토,"34,000,000",0,"8,627,821,100","7,535,831"
2020-03-29,일,"34,000,000",0,"8,634,976,195","7,155,095"
2020-03-30,월,"34,000,000",0,"8,642,242,792","7,266,597"
2020-03-31,화,"34,100,000","100,000","8,649,334,918","7,092,126"
2020-04-01,수,"34,100,000",0,"8,656,698,811","7,363,893"
2020-04-02,목,"34,100,000",0,"8,663,726,616","7,027,805"
2020-04-03,금,"34,100,000",0,"8,671,516,707","7,790,091"
2020-04-04,토,"34,200,000","100,000","8,679,240,453","7,723,746"
2020-04-05,일,"34,200,000",0,"8,686,724,351","7,483,898"
2020-04-06,월,"34,200,000",0,"8,694,150,581","7,426,230"
2020-04-07,화,"34,200,000",0,"8,701,861,685","7,711,104"
2020-04-08,수,"34,300,000","100,000","8,711,432,720","9,571,035"
2020-04-09,목,"34,300,000",0,"8,720,798,266","9,365,546"
2020-04-10,금,"34,300,000",0,"8,729,742,273","8,944,007"
2020-04-11,토,"34,400,000","100,000","8,738,086,885","8,344,612"
2020-04-12,일,"34,400,000",0,"8,746,343,337","8,256,452"
2020-04-13,월,"34,400,000",0,"8,754,723,473","8,380,136"
2020-04-14,화,"34,400,000",0,"8,762,550,532","7,827,059"
2020-04-15,수,"34,500,000","100,000","8,770,703,636","8,153,104"
2020-04-16,목,"34,500,000",0,"8,780,977,959","10,274,323"
2020-04-17,금,"34,500,000",0,"8,790,948,268","9,970,309"
2020-04-18,토,"34,500,000",0,"8,800,319,634","9,371,366"
2020-04-19,일,"34,600,000","100,000","8,808,498,341","8,178,707"
2020-04-20,월,"34,600,000",0,"8,816,278,311","7,779,970"
2020-04-21,화,"34,600,000",0,"8,824,803,700","8,525,389"
2020-04-22,수,"34,600,000",0,"8,833,074,941","8,271,241"
2020-04-23,목,"34,700,000","100,000","8,840,932,344","7,857,403"
2020-04-24,금,"34,700,000",0,"8,848,919,258","7,986,914"
2020-04-25,토,"34,700,000",0,"8,857,223,276","8,304,018"
2020-04-26,일,"34,800,000","100,000","8,864,935,397","7,712,121"
2020-04-27,월,"34,800,000",0,"8,872,029,795","7,094,398"
2020-04-28,화,"34,800,000",0,"8,879,705,613","7,675,818"
2020-04-29,수,"34,800,000",0,"8,887,246,461","7,540,848"
2020-04-30,목,"34,900,000","100,000","8,895,489,803","8,243,342"
2020-05-01,금,"34,900,000",0,"8,904,419,755","8,929,952"
2020-05-02,토,"34,900,000",0,"8,914,297,975","9,878,220"
2020-05-03,일,"34,900,000",0,"8,923,027,181","8,729,206"
2020-05-04,월,"35,000,000","100,000","8,931,009,665","7,982,484"
2020-05-05,화,"35,000,000",0,"8,939,543,024","8,533,359"
2020-05-06,수,"35,000,000",0,"8,947,764,892","8,221,868"
2020-05-07,목,"35,100,000","100,000","8,956,480,226","8,715,334"
2020-05-08,금,"35,100,000",0,"8,965,855,041","9,374,815"
2020-05-09,토,"35,100,000",0,"8,975,089,987","9,234,946"
2020-05-10,일,"35,200,000","100,000","8,983,693,276","8,603,289"
2020-05-11,월,"35,200,000",0,"8,991,778,907","8,085,631"
2020-05-12,화,"35,200,000",0,"8,999,966,000","8,187,093"
2020-05-13,수,"35,300,000","100,000","9,008,479,061","8,513,061"
2020-05-14,목,"35,300,000",0,"9,016,950,903","8,471,842"
2020-05-15,금,"35,300,000",0,"9,025,288,220","8,337,317"
2020-05-16,토,"35,300,000",0,"9,033,829,418","8,541,198"
2020-05-17,일,"35,400,000","100,000","9,042,209,027","8,379,609"
2020-05-18,월,"35,400,000",0,"9,050,537,112","8,328,085"
2020-05-19,화,"35,400,000",0,"9,058,439,194","7,902,082"
2020-05-20,수,"35,500,000","100,000","9,067,026,675","8,587,481"
2020-05-21,목,"35,500,000",0,"9,075,158,429","8,131,754"
2020-05-22,금,"35,500,000",0,"9,083,503,874","8,345,445"
2020-05-23,토,"35,600,000","100,000","9,091,945,300","8,441,426"
2020-05-24,일,"35,600,000",0,"9,100,567,869","8,622,569"
2020-05-25,월,"35,600,000",0,"9,108,216,384","7,648,515"
2020-05-26,화,"35,600,000",0,"9,116,563,647","8,347,263"
2020-05-27,수,"35,700,000","100,000","9,124,657,315","8,093,668"
2020-05-28,목,"35,700,000",0,"9,132,776,704","8,119,389"
2020-05-29,금,"35,800,000","100,000","9,140,913,100","8,136,396"
2020-05-30,토,"35,800,000",0,"9,151,563,475","10,650,375"
2020-05-31,일,"35,900,000","100,000","9,160,155,632","8,592,157"
2020-06-01,월,"35,900,000",0,"9,168,623,767","8,468,135"
2020-06-02,화,"35,900,000",0,"9,177,458,425","8,834,658"
2020-06-03,수,"36,000,000","100,000","9,186,125,366","8,666,941)2"
2020-06-04,목,"36,000,000",0,"9,194,414,412","8,289,046"
2020-06-05,금,"36,000,000",0,"9,203,387,390","8,972,978"
2020-06-06,토,"36,100,000","100,000","9,212,343,953","8,956,563"
2020-06-07,일,"36,100,000",0,"9,220,957,470","8,613,517"
2020-06-08,월,"36,100,000",0,"9,228,490,371","7,532,901"
2020-06-09,화,"36,200,000","100,000","9,237,192,934","8,702,563"
2020-06-10,수,"36,200,000",0,"9,246,114,538","8,921,604"
2020-06-11,목,"36,300,000","100,000","9,254,281,512","8,166,974"
2020-06-12,금,"36,300,000",0,"9,263,782,572","9,501,060"
2020-06-13,토,"36,400,000","100,000","9,275,820,988","12,038,416"
2020-06-14,일,"36,400,000",0,"9,286,631,212","10,810,224"
2020-06-15,월,"36,500,000","100,000","9,295,978,277","9,347,065"
2020-06-16,화,"36,500,000",0,"9,305,985,743","10,007,466"
2020-06-17,수,"36,600,000","100,000","9,315,919,731","9,933,988"
2020-06-18,목,"36,700,000","100,000","9,336,710,536","20,790,805"
2020-06-19,금,"36,800,000","100,000","9,373,990,741","37,280,205"
2020-06-20,토,"36,900,000","100,000","9,401,293,252","27,302,511"
2020-06-21,일,"37,000,000","100,000","9,425,445,753","24,152,501"
2020-06-22,월,"37,000,000",0,"9,445,572,614","20,126,861"
2020-06-23,화,"37,100,000","100,000","9,459,523,382","13,950,768"
2020-06-24,수,"37,200,000","100,000","9,483,811,074","24,287,692"
2020-06-25,목,"37,300,000","100,000","9,503,881,803","20,070,729"
