집계날짜,집계요일,구독자수,구독자수증감,영상조회수,조회수증감,,조회수증감,집계날짜,그래프를위한
2020-02-07,금,"33,000,000",0,"8,315,935,651","6,041,747",,"6,999,440",2020-02-08,842.3019693
2020-02-08,토,"33,100,000","100,000","8,322,935,091","6,999,440",,"6,842,150",2020-02-09,822.7757269
2020-02-09,일,"33,100,000",0,"8,329,777,241","6,842,150",,"5,564,771",2020-02-10,668.6068003
2020-02-10,월,"33,100,000",0,"8,335,342,012","5,564,771",,"5,696,768",2020-02-11,683.9040031
2020-02-11,화,"33,100,000",0,"8,341,038,780","5,696,768",,"5,472,615",2020-02-12,656.5555429
2020-02-12,수,"33,100,000",0,"8,346,511,395","5,472,615",,"5,562,133",2020-02-13,666.8393646
2020-02-13,목,"33,100,000",0,"8,352,073,528","5,562,133",,"6,168,681",2020-02-14,739.0729741
2020-02-14,금,"33,200,000","100,000","8,358,242,209","6,168,681",,"6,513,927",2020-02-15,779.9173437
2020-02-15,토,"33,200,000",0,"8,364,756,136","6,513,927",,"6,941,600",2020-02-16,830.5095529
2020-02-16,일,"33,200,000",0,"8,371,697,736","6,941,600",,"5,512,100",2020-02-17,658.9672084
2020-02-17,월,"33,200,000",0,"8,377,209,836","5,512,100",,"5,105,906",2020-02-18,609.9009019
2020-02-18,화,"33,200,000",0,"8,382,315,742","5,105,906",,"5,113,455",2020-02-19,610.4007301
2020-02-19,수,"33,200,000",0,"8,387,429,197","5,113,455",,"5,078,750",2020-02-20,605.8886537
2020-02-20,목,"33,300,000","100,000","8,392,507,947","5,078,750",,"5,715,357",2020-02-21,681.4194035
2020-02-21,금,"33,300,000",0,"8,398,223,304","5,715,357",,"6,499,133",2020-02-22,774.3970028
2020-02-22,토,"33,300,000",0,"8,404,722,437","6,499,133",,"6,588,299",2020-02-23,784.4872375
2020-02-23,일,"33,300,000",0,"8,411,310,736","6,588,299",,"6,436,801",2020-02-24,765.8552734
2020-02-24,월,"33,300,000",0,"8,417,747,537","6,436,801",,"6,221,281",2020-02-25,739.632763
2020-02-25,화,"33,400,000","100,000","8,423,968,818","6,221,281",,"5,695,339",2020-02-26,676.5870531
2020-02-26,수,"33,400,000",0,"8,429,664,157","5,695,339",,"5,547,513",2020-02-27,658.5391185
2020-02-27,목,"33,400,000",0,"8,435,211,670","5,547,513",,"5,615,916",2020-02-28,666.2087475
2020-02-28,금,"33,400,000",0,"8,440,827,586","5,615,916",,"6,523,071",2020-02-29,773.3144413
2020-02-29,토,"33,400,000",0,"8,447,350,657","6,523,071",,"6,622,555",2020-03-01,784.5859819
2020-03-01,일,"33,400,000",0,"8,453,973,212","6,622,555",,"5,498,054",2020-03-02,650.8613438
2020-03-02,월,"33,500,000","100,000","8,459,471,266","5,498,054",,"5,197,367",2020-03-03,614.7839447
2020-03-03,화,"33,500,000",0,"8,464,668,633","5,197,367",,"5,223,953",2020-03-04,617.5271286
2020-03-04,수,"33,500,000",0,"8,469,892,586","5,223,953",,"5,550,034",2020-03-05,655.6705573
2020-03-05,목,"33,500,000",0,"8,475,442,620","5,550,034",,"5,967,678",2020-03-06,704.5754051
2020-03-06,금,"33,500,000",0,"8,481,410,298","5,967,678",,"6,319,545",2020-03-07,745.6300849
2020-03-07,토,"33,500,000",0,"8,487,729,843","6,319,545",,"7,269,617",2020-03-08,857.1236085
2020-03-08,일,"33,600,000","100,000","8,494,999,460","7,269,617",,"5,991,132",2020-03-09,705.8579986
2020-03-09,월,"33,600,000",0,"8,500,990,592","5,991,132",,"5,554,067",2020-03-10,653.8042793
2020-03-10,화,"33,600,000",0,"8,506,544,659","5,554,067",,"5,797,241",2020-03-11,681.9488785
2020-03-11,수,"33,600,000",0,"8,512,341,900","5,797,241",,"5,866,384",2020-03-12,689.6318347
2020-03-12,목,"33,600,000",0,"8,518,208,284","5,866,384",,"6,289,485",2020-03-13,738.8665862
2020-03-13,금,"33,700,000","100,000","8,524,497,769","6,289,485",,"6,323,373",2020-03-14,742.3360394
2020-03-14,토,"33,700,000",0,"8,530,821,142","6,323,373",,"6,935,495",2020-03-15,813.5957317
2020-03-15,일,"33,700,000",0,"8,537,756,637","6,935,495",,"6,372,079",2020-03-16,746.9479074
2020-03-16,월,"33,700,000",0,"8,544,128,716","6,372,079",,"6,467,287",2020-03-17,757.4925446
2020-03-17,화,"33,700,000",0,"8,550,596,003","6,467,287",,"6,745,248",2020-03-18,789.4600168
2020-03-18,수,"33,800,000","100,000","8,557,341,251","6,745,248",,"6,657,360",2020-03-19,778.584323
2020-03-19,목,"33,800,000",0,"8,563,998,611","6,657,360",,"7,049,329",2020-03-20,823.7756089
2020-03-20,금,"33,800,000",0,"8,571,047,940","7,049,329",,"7,442,613",2020-03-21,869.0581746
2020-03-21,토,"33,800,000",0,"8,578,490,553","7,442,613",,"7,004,791",2020-03-22,817.2619088
2020-03-22,일,"33,800,000",0,"8,585,495,344","7,004,791",,"6,859,143",2020-03-23,799.5745822
2020-03-23,월,"33,900,000","100,000","8,592,354,487","6,859,143",,"6,809,961",2020-03-24,793.1937212
2020-03-24,화,"33,900,000",0,"8,599,164,448","6,809,961",,"6,964,929",2020-03-25,810.5960957
2020-03-25,수,"33,900,000",0,"8,606,129,377","6,964,929",,"7,158,538",2020-03-26,832.4690199
